discount,explorationProb,step_size,num_sample_starts,step_multiplier,runtime,maze
0.93,0.21,0.8,10,8,0.19683337211608887,maze373_dim147.txt
0.83,0.18,0.58,12,8,0.20282244682312012,maze373_dim147.txt
0.9,0.17,0.29,5,11,0.19884753227233887,maze373_dim147.txt
0.9,0.12,0.32,5,12,0.20334506034851074,maze373_dim147.txt
0.99,0.43,0.79,13,17,0.1967301368713379,maze373_dim147.txt
1.0,0.51,0.4,4,20,0.1996011734008789,maze373_dim147.txt
0.87,0.42,0.36,15,15,0.1955249309539795,maze373_dim147.txt
0.87,0.58,0.59,17,17,0.2006545066833496,maze373_dim147.txt
0.83,0.52,0.57,18,18,0.20075654983520508,maze373_dim147.txt
0.98,0.17,0.78,12,7,0.200056791305542,maze373_dim147.txt
0.81,0.33,0.42,10,17,0.1912071704864502,maze373_dim147.txt
0.91,0.35,0.55,10,11,0.2076113224029541,maze373_dim147.txt
0.86,0.32,0.53,13,6,0.1980137825012207,maze373_dim147.txt
0.91,0.18,0.22,3,12,0.19998788833618164,maze373_dim147.txt
0.83,0.18,0.63,18,15,0.20513486862182617,maze373_dim147.txt
0.87,0.53,0.8,6,5,0.2053372859954834,maze373_dim147.txt
0.82,0.44,0.52,19,6,0.19935035705566406,maze373_dim147.txt
0.85,0.42,0.22,19,11,0.19990181922912598,maze373_dim147.txt
0.97,0.39,0.36,19,19,0.19920825958251953,maze373_dim147.txt
0.89,0.42,0.19,15,6,0.19484901428222656,maze373_dim147.txt
0.82,0.51,0.23,18,12,0.08065080642700195,maze1339_dim95.txt
0.96,0.2,0.16,11,7,0.07908916473388672,maze1339_dim95.txt
0.96,0.66,0.61,14,6,0.07835221290588379,maze1339_dim95.txt
0.98,0.39,0.21,15,7,0.07971715927124023,maze1339_dim95.txt
0.81,0.19,0.68,19,14,0.08478975296020508,maze1339_dim95.txt
0.99,0.36,0.19,9,8,0.08328986167907715,maze1339_dim95.txt
0.92,0.22,0.47,8,6,0.08496785163879395,maze1339_dim95.txt
0.94,0.66,0.25,15,10,0.07658147811889648,maze1339_dim95.txt
0.99,0.66,0.41,12,12,0.07892608642578125,maze1339_dim95.txt
0.89,0.58,0.87,20,14,0.07974815368652344,maze1339_dim95.txt
0.88,0.13,0.76,13,5,0.07496309280395508,maze1339_dim95.txt
1.0,0.61,0.63,13,5,0.07653594017028809,maze1339_dim95.txt
0.9,0.24,0.57,16,11,0.07773804664611816,maze1339_dim95.txt
0.89,0.24,0.36,13,13,0.07676005363464355,maze1339_dim95.txt
0.88,0.61,0.2,12,6,0.08056521415710449,maze1339_dim95.txt
0.87,0.29,0.55,13,13,0.08659124374389648,maze1339_dim95.txt
0.88,0.32,0.71,5,19,0.0768592357635498,maze1339_dim95.txt
